Posicao X MAX = 640,Posicao Y MAX = 480,Pontuacao,
0,0,0,
10,0,0,
20,0,0,
30,0,0,
40,0,2,
50,0,2,
60,0,3,
70,0,4,
80,0,2,
90,0,2,
100,0,1,
110,0,0,
120,0,0,
130,0,0,
140,0,0,
150,0,0,
160,0,0,
170,0,0,
180,0,0,
190,0,0,
200,0,0,
210,0,0,
220,0,0,
230,0,0,
240,0,0,
250,0,0,
260,0,0,
270,0,0,
280,0,0,
290,0,0,
300,0,0,
310,0,0,
320,0,0,
330,0,0,
340,0,0,
350,0,0,
360,0,0,
370,0,0,
380,0,0,
390,0,0,
400,0,0,
410,0,0,
420,0,0,
430,0,0,
440,0,0,
450,0,1,
460,0,4,
470,0,6,
480,0,8,
490,0,10,
500,0,10,
510,0,8,
520,0,6,
530,0,3,
540,0,0,
550,0,0,
560,0,0,
570,0,0,
580,0,0,
590,0,0,
600,0,0,
610,0,0,
620,0,0,
630,0,0,
640,0,0,
0,10,0,
10,10,0,
20,10,0,
30,10,0,
40,10,3,
50,10,4,
60,10,7,
70,10,12,
80,10,9,
90,10,8,
100,10,5,
110,10,0,
120,10,0,
130,10,0,
140,10,0,
150,10,0,
160,10,0,
170,10,0,
180,10,0,
190,10,0,
200,10,0,
210,10,0,
220,10,0,
230,10,0,
240,10,0,
250,10,0,
260,10,0,
270,10,0,
280,10,0,
290,10,0,
300,10,0,
310,10,0,
320,10,1,
330,10,1,
340,10,1,
350,10,1,
360,10,0,
370,10,0,
380,10,0,
390,10,0,
400,10,0,
410,10,0,
420,10,1,
430,10,1,
440,10,1,
450,10,2,
460,10,5,
470,10,8,
480,10,11,
490,10,15,
500,10,18,
510,10,19,
520,10,16,
530,10,11,
540,10,4,
550,10,0,
560,10,0,
570,10,0,
580,10,0,
590,10,0,
600,10,0,
610,10,0,
620,10,0,
630,10,0,
640,10,0,
0,20,0,
10,20,0,
20,20,0,
30,20,0,
40,20,5,
50,20,6,
60,20,9,
70,20,14,
80,20,9,
90,20,8,
100,20,5,
110,20,0,
120,20,0,
130,20,0,
140,20,0,
150,20,0,
160,20,0,
170,20,0,
180,20,0,
190,20,0,
200,20,0,
210,20,0,
220,20,0,
230,20,0,
240,20,0,
250,20,0,
260,20,0,
270,20,0,
280,20,0,
290,20,0,
300,20,0,
310,20,0,
320,20,1,
330,20,1,
340,20,1,
350,20,1,
360,20,0,
370,20,0,
380,20,0,
390,20,0,
400,20,0,
410,20,0,
420,20,2,
430,20,2,
440,20,2,
450,20,3,
460,20,5,
470,20,8,
480,20,11,
490,20,15,
500,20,18,
510,20,19,
520,20,16,
530,20,11,
540,20,4,
550,20,0,
560,20,0,
570,20,0,
580,20,0,
590,20,0,
600,20,0,
610,20,0,
620,20,0,
630,20,0,
640,20,0,
0,30,0,
10,30,0,
20,30,0,
30,30,0,
40,30,5,
50,30,6,
60,30,9,
70,30,14,
80,30,9,
90,30,8,
100,30,5,
110,30,0,
120,30,0,
130,30,0,
140,30,0,
150,30,0,
160,30,0,
170,30,0,
180,30,0,
190,30,0,
200,30,0,
210,30,0,
220,30,0,
230,30,0,
240,30,0,
250,30,0,
260,30,0,
270,30,0,
280,30,0,
290,30,0,
300,30,0,
310,30,0,
320,30,1,
330,30,1,
340,30,1,
350,30,1,
360,30,0,
370,30,0,
380,30,0,
390,30,0,
400,30,0,
410,30,0,
420,30,2,
430,30,2,
440,30,2,
450,30,2,
460,30,2,
470,30,5,
480,30,7,
490,30,12,
500,30,17,
510,30,18,
520,30,16,
530,30,11,
540,30,4,
550,30,0,
560,30,0,
570,30,0,
580,30,0,
590,30,0,
600,30,0,
610,30,0,
620,30,0,
630,30,0,
640,30,0,
0,40,0,
10,40,0,
20,40,0,
30,40,0,
40,40,3,
50,40,4,
60,40,6,
70,40,10,
80,40,8,
90,40,7,
100,40,5,
110,40,1,
120,40,0,
130,40,0,
140,40,0,
150,40,0,
160,40,0,
170,40,0,
180,40,0,
190,40,0,
200,40,0,
210,40,0,
220,40,0,
230,40,0,
240,40,0,
250,40,0,
260,40,0,
270,40,0,
280,40,0,
290,40,0,
300,40,0,
310,40,0,
320,40,1,
330,40,1,
340,40,1,
350,40,1,
360,40,0,
370,40,0,
380,40,0,
390,40,0,
400,40,0,
410,40,0,
420,40,2,
430,40,2,
440,40,2,
450,40,2,
460,40,1,
470,40,2,
480,40,3,
490,40,5,
500,40,8,
510,40,11,
520,40,10,
530,40,8,
540,40,4,
550,40,0,
560,40,0,
570,40,0,
580,40,0,
590,40,0,
600,40,0,
610,40,0,
620,40,0,
630,40,0,
640,40,0,
0,50,0,
10,50,0,
20,50,0,
30,50,0,
40,50,2,
50,50,2,
60,50,2,
70,50,2,
80,50,1,
90,50,1,
100,50,1,
110,50,1,
120,50,0,
130,50,0,
140,50,0,
150,50,0,
160,50,0,
170,50,0,
180,50,0,
190,50,0,
200,50,0,
210,50,0,
220,50,0,
230,50,0,
240,50,0,
250,50,0,
260,50,0,
270,50,0,
280,50,0,
290,50,0,
300,50,0,
310,50,0,
320,50,0,
330,50,0,
340,50,0,
350,50,0,
360,50,0,
370,50,0,
380,50,0,
390,50,0,
400,50,0,
410,50,0,
420,50,1,
430,50,1,
440,50,1,
450,50,1,
460,50,0,
470,50,0,
480,50,0,
490,50,0,
500,50,0,
510,50,0,
520,50,0,
530,50,0,
540,50,0,
550,50,0,
560,50,0,
570,50,0,
580,50,0,
590,50,0,
600,50,0,
610,50,0,
620,50,0,
630,50,0,
640,50,0,
0,60,0,
10,60,0,
20,60,0,
30,60,0,
40,60,0,
50,60,0,
60,60,0,
70,60,0,
80,60,1,
90,60,1,
100,60,1,
110,60,1,
120,60,0,
130,60,0,
140,60,0,
150,60,0,
160,60,0,
170,60,0,
180,60,0,
190,60,0,
200,60,0,
210,60,0,
220,60,0,
230,60,0,
240,60,0,
250,60,0,
260,60,0,
270,60,0,
280,60,0,
290,60,0,
300,60,0,
310,60,0,
320,60,0,
330,60,0,
340,60,0,
350,60,0,
360,60,0,
370,60,0,
380,60,0,
390,60,0,
400,60,0,
410,60,0,
420,60,0,
430,60,0,
440,60,0,
450,60,0,
460,60,0,
470,60,0,
480,60,0,
490,60,0,
500,60,0,
510,60,0,
520,60,0,
530,60,0,
540,60,0,
550,60,0,
560,60,0,
570,60,0,
580,60,0,
590,60,0,
600,60,0,
610,60,0,
620,60,0,
630,60,0,
640,60,0,
0,70,0,
10,70,0,
20,70,0,
30,70,0,
40,70,0,
50,70,0,
60,70,0,
70,70,0,
80,70,1,
90,70,1,
100,70,1,
110,70,1,
120,70,0,
130,70,0,
140,70,0,
150,70,0,
160,70,0,
170,70,0,
180,70,0,
190,70,0,
200,70,0,
210,70,0,
220,70,0,
230,70,0,
240,70,0,
250,70,0,
260,70,0,
270,70,0,
280,70,0,
290,70,0,
300,70,0,
310,70,0,
320,70,0,
330,70,0,
340,70,0,
350,70,0,
360,70,0,
370,70,0,
380,70,0,
390,70,0,
400,70,0,
410,70,0,
420,70,0,
430,70,0,
440,70,0,
450,70,0,
460,70,0,
470,70,0,
480,70,1,
490,70,3,
500,70,4,
510,70,4,
520,70,3,
530,70,1,
540,70,0,
550,70,0,
560,70,0,
570,70,0,
580,70,0,
590,70,0,
600,70,0,
610,70,0,
620,70,0,
630,70,0,
640,70,0,
0,80,0,
10,80,0,
20,80,0,
30,80,0,
40,80,0,
50,80,0,
60,80,0,
70,80,0,
80,80,0,
90,80,0,
100,80,0,
110,80,0,
120,80,0,
130,80,0,
140,80,0,
150,80,0,
160,80,0,
170,80,0,
180,80,0,
190,80,0,
200,80,0,
210,80,0,
220,80,0,
230,80,0,
240,80,0,
250,80,0,
260,80,0,
270,80,0,
280,80,0,
290,80,0,
300,80,0,
310,80,0,
320,80,0,
330,80,0,
340,80,0,
350,80,0,
360,80,0,
370,80,0,
380,80,0,
390,80,0,
400,80,0,
410,80,0,
420,80,0,
430,80,0,
440,80,0,
450,80,0,
460,80,0,
470,80,1,
480,80,4,
490,80,7,
500,80,8,
510,80,7,
520,80,4,
530,80,1,
540,80,0,
550,80,0,
560,80,0,
570,80,0,
580,80,0,
590,80,0,
600,80,0,
610,80,0,
620,80,0,
630,80,0,
640,80,0,
0,90,0,
10,90,0,
20,90,0,
30,90,0,
40,90,0,
50,90,0,
60,90,0,
70,90,0,
80,90,0,
90,90,0,
100,90,0,
110,90,0,
120,90,0,
130,90,0,
140,90,0,
150,90,0,
160,90,0,
170,90,0,
180,90,0,
190,90,0,
200,90,0,
210,90,0,
220,90,0,
230,90,0,
240,90,0,
250,90,0,
260,90,0,
270,90,0,
280,90,0,
290,90,0,
300,90,0,
310,90,0,
320,90,0,
330,90,0,
340,90,0,
350,90,0,
360,90,0,
370,90,0,
380,90,0,
390,90,0,
400,90,0,
410,90,0,
420,90,0,
430,90,0,
440,90,0,
450,90,0,
460,90,1,
470,90,3,
480,90,10,
490,90,16,
500,90,17,
510,90,15,
520,90,8,
530,90,2,
540,90,0,
550,90,0,
560,90,0,
570,90,0,
580,90,0,
590,90,0,
600,90,0,
610,90,0,
620,90,0,
630,90,0,
640,90,0,
0,100,2,
10,100,2,
20,100,2,
30,100,2,
40,100,0,
50,100,0,
60,100,0,
70,100,0,
80,100,0,
90,100,0,
100,100,0,
110,100,0,
120,100,0,
130,100,0,
140,100,0,
150,100,0,
160,100,0,
170,100,0,
